"dep","col1","entryName"
"all","com.wlzq.activity.task.biz.impl.HengShengBizImpl.all","com.wlzq.activity.task.service.app.TaskService.dotask"
"calculateGoodsQuantity","com.wlzq.activity.task.biz.TaskBiz.calculateGoodsQuantity","com.wlzq.activity.task.service.app.TaskService.dotask"
"checkBjsPerm","com.wlzq.activity.task.biz.HengShengBiz.checkBjsPerm","com.wlzq.activity.task.service.app.TaskService.dotask"
"checkBjsPerm","com.wlzq.activity.task.biz.impl.HengShengBizImpl.checkBjsPerm","com.wlzq.activity.task.service.app.TaskService.dotask"
"checkBjsPerm","com.wlzq.activity.task.biz.impl.OpenPermTaskBizImpl.checkBjsPerm","com.wlzq.activity.task.service.app.TaskService.dotask"
"checkCouponUsed","com.wlzq.activity.task.biz.impl.ExperienceTaskBizImpl.checkCouponUsed","com.wlzq.activity.task.service.app.TaskService.dotask"
"checkFkybBag","com.wlzq.activity.task.biz.impl.BuyTaskBizImpl.checkFkybBag","com.wlzq.activity.task.service.app.TaskService.dotask"
"checkGgL2FreeCoupon","com.wlzq.activity.task.biz.impl.OpenPermTaskBizImpl.checkGgL2FreeCoupon","com.wlzq.activity.task.service.app.TaskService.dotask"
"checkNewCustomerGift","com.wlzq.activity.task.biz.impl.OtherTaskBizImpl.checkNewCustomerGift","com.wlzq.activity.task.service.app.TaskService.dotask"
"checkOpenAlv2","com.wlzq.activity.task.biz.impl.BuyTaskBizImpl.checkOpenAlv2","com.wlzq.activity.task.service.app.TaskService.dotask"
"checkQiWeiAddResult","com.wlzq.activity.double11.biz.Double11Biz.checkQiWeiAddResult","com.wlzq.activity.task.service.app.TaskService.dotask"
"checkQiWeiAddResult","com.wlzq.activity.double11.biz.impl.Double11BizImpl.checkQiWeiAddResult","com.wlzq.activity.task.service.app.TaskService.dotask"
"checkResult","com.wlzq.activity.task.biz.impl.HengShengBizImpl.checkResult","com.wlzq.activity.task.service.app.TaskService.dotask"
"checkReturnVisit","com.wlzq.activity.task.biz.impl.OtherTaskBizImpl.checkReturnVisit","com.wlzq.activity.task.service.app.TaskService.dotask"
"checkRj","com.wlzq.activity.task.biz.impl.OtherTaskBizImpl.checkRj","com.wlzq.activity.task.service.app.TaskService.dotask"
"checkServiceOrderFor14Days","com.wlzq.activity.task.biz.impl.BuyTaskBizImpl.checkServiceOrderFor14Days","com.wlzq.activity.task.service.app.TaskService.dotask"
"checkServiceOrderForKccp006","com.wlzq.activity.task.biz.impl.BuyTaskBizImpl.checkServiceOrderForKccp006","com.wlzq.activity.task.service.app.TaskService.dotask"
"checkTask","com.wlzq.activity.task.biz.SpecificTaskBiz.checkTask","com.wlzq.activity.task.service.app.TaskService.dotask"
"checkTask","com.wlzq.activity.task.biz.impl.BrowseTaskBizImpl.checkTask","com.wlzq.activity.task.service.app.TaskService.dotask"
"checkTask","com.wlzq.activity.task.biz.impl.BuyTaskBizImpl.checkTask","com.wlzq.activity.task.service.app.TaskService.dotask"
"checkTask","com.wlzq.activity.task.biz.impl.ExperienceTaskBizImpl.checkTask","com.wlzq.activity.task.service.app.TaskService.dotask"
"checkTask","com.wlzq.activity.task.biz.impl.OpenPermTaskBizImpl.checkTask","com.wlzq.activity.task.service.app.TaskService.dotask"
"checkTask","com.wlzq.activity.task.biz.impl.OtherTaskBizImpl.checkTask","com.wlzq.activity.task.service.app.TaskService.dotask"
"checkTaskHasDone","com.wlzq.activity.task.biz.impl.UserTaskBizImpl.checkTaskHasDone","com.wlzq.activity.task.service.app.TaskService.dotask"
"checkTaskIsDone","com.wlzq.activity.task.biz.TaskBiz.checkTaskIsDone","com.wlzq.activity.task.service.app.TaskService.dotask"
"checkVasArticleOrder","com.wlzq.activity.task.biz.impl.ExperienceTaskBizImpl.checkVasArticleOrder","com.wlzq.activity.task.service.app.TaskService.dotask"
"checkVasGoodsSubscribed","com.wlzq.activity.task.biz.impl.ExperienceTaskBizImpl.checkVasGoodsSubscribed","com.wlzq.activity.task.service.app.TaskService.dotask"
"checkXtjjds","com.wlzq.activity.task.biz.impl.BuyTaskBizImpl.checkXtjjds","com.wlzq.activity.task.service.app.TaskService.dotask"
"checkZtzs","com.wlzq.activity.task.biz.impl.BuyTaskBizImpl.checkZtzs","com.wlzq.activity.task.service.app.TaskService.dotask"
"covertParamsToNvps","com.wlzq.activity.base.utils.HttpClientPoolUtils.covertParamsToNvps","com.wlzq.activity.task.service.app.TaskService.dotask"
"doGetSpecificTaskBizMap","com.wlzq.activity.task.biz.impl.UserTaskBizImpl.doGetSpecificTaskBizMap","com.wlzq.activity.task.service.app.TaskService.dotask"
"doTask","com.wlzq.activity.task.biz.TaskBiz.doTask","com.wlzq.activity.task.service.app.TaskService.dotask"
"doUserTask","com.wlzq.activity.task.biz.UserTaskBiz.doUserTask","com.wlzq.activity.task.service.app.TaskService.dotask"
"doUserTask","com.wlzq.activity.task.biz.impl.UserTaskBizImpl.doUserTask","com.wlzq.activity.task.service.app.TaskService.dotask"
"dotask","com.wlzq.activity.task.service.app.TaskService.dotask","com.wlzq.activity.task.service.app.TaskService.dotask"
"findActivity","com.wlzq.activity.base.biz.ActivityBaseBiz.findActivity","com.wlzq.activity.task.service.app.TaskService.dotask"
"findActivityByCode","com.wlzq.activity.base.dao.ActivityDao.findActivityByCode","com.wlzq.activity.task.service.app.TaskService.dotask"
"findByCustomerIdAndTaskNo","com.wlzq.activity.task.dao.ActReturnVisitRecordDao.findByCustomerIdAndTaskNo","com.wlzq.activity.task.service.app.TaskService.dotask"
"findCustomerPrizes","com.wlzq.activity.base.dao.ActPrizeDao.findCustomerPrizes","com.wlzq.activity.task.service.app.TaskService.dotask"
"getActGoodsFlowList","com.wlzq.activity.task.biz.impl.UserTaskBizImpl.getActGoodsFlowList","com.wlzq.activity.task.service.app.TaskService.dotask"
"getActReturnVisitRecordList","com.wlzq.activity.task.biz.impl.OtherTaskBizImpl.getActReturnVisitRecordList","com.wlzq.activity.task.service.app.TaskService.dotask"
"getActTaskMap","com.wlzq.activity.task.biz.Double11TaskPoolBizImpl.getActTaskMap","com.wlzq.activity.task.service.app.TaskService.dotask"
"getActTaskMap","com.wlzq.activity.task.biz.TaskPoolBiz.getActTaskMap","com.wlzq.activity.task.service.app.TaskService.dotask"
"getActTaskMap","com.wlzq.activity.task.redis.TaskRedis$ActTaskMap.getActTaskMap","com.wlzq.activity.task.service.app.TaskService.dotask"
"getActivityCode","com.wlzq.activity.task.dto.ActTaskReqDto.getActivityCode","com.wlzq.activity.task.service.app.TaskService.dotask"
"getActivityCode","com.wlzq.activity.virtualfin.model.ActTask.getActivityCode","com.wlzq.activity.task.service.app.TaskService.dotask"
"getActivityInfo","com.wlzq.activity.task.biz.impl.Task2023FreeLotteryBizImpl.getActivityInfo","com.wlzq.activity.task.service.app.TaskService.dotask"
"getActivityInfo","com.wlzq.activity.task.biz.impl.TaskGgqzdBizImpl.getActivityInfo","com.wlzq.activity.task.service.app.TaskService.dotask"
"getAllHs331300Dto","com.wlzq.activity.task.biz.impl.HengShengBizImpl.getAllHs331300Dto","com.wlzq.activity.task.service.app.TaskService.dotask"
"getAllTotalNum","com.wlzq.activity.virtualfin.model.ActTask.getAllTotalNum","com.wlzq.activity.task.service.app.TaskService.dotask"
"getBizCode","com.wlzq.activity.task.dto.ActTaskReqDto.getBizCode","com.wlzq.activity.task.service.app.TaskService.dotask"
"getBreakerStatus","com.wlzq.activity.base.model.Activity.getBreakerStatus","com.wlzq.activity.task.service.app.TaskService.dotask"
"getBreakerTimeFrom","com.wlzq.activity.base.model.Activity.getBreakerTimeFrom","com.wlzq.activity.task.service.app.TaskService.dotask"
